1811,Surat,city_temp,6.86,Citymove,globalmove
1812,Surat,26.13,7.05,25.93,7.216666667
1813,Surat,25.73,7.74,25.66333333,7.46
1814,Surat,25.13,7.59,25.37333333,7.523333333
1815,Surat,25.26,7.24,25.07333333,7.256666667
1816,Surat,24.83,6.94,25.04666667,7.053333333
1817,Surat,25.05,6.98,25.14,7.25
1818,Surat,25.54,7.83,25.26,7.393333333
1819,Surat,25.19,7.37,25.35666667,7.606666667
1820,Surat,25.34,7.62,25.49333333,7.693333333
1821,Surat,25.95,8.09,25.76,7.966666667
1822,Surat,25.99,8.19,25.94666667,8
1823,Surat,25.9,7.72,26.13333333,8.153333333
1824,Surat,26.51,8.55,26.22,8.22
1825,Surat,26.25,8.39,26.36,8.433333333
1826,Surat,26.32,8.36,26.33,8.52
1827,Surat,26.42,8.81,26.27333333,8.446666667
1828,Surat,26.08,8.17,26.13333333,8.306666667
1829,Surat,25.9,7.94,26.03666667,8.21
1830,Surat,26.13,8.52,25.91,8.033333333
1831,Surat,25.7,7.64,25.91333333,7.87
1832,Surat,25.91,7.45,25.86666667,7.7
1833,Surat,25.99,8.01,25.97666667,7.87
1834,Surat,26.03,8.15,25.73666667,7.85
1835,Surat,25.19,7.39,25.62666667,7.746666667
1836,Surat,25.66,7.7,25.48,7.49
1837,Surat,25.59,7.38,25.62666667,7.53
1838,Surat,25.63,7.51,25.64666667,7.506666667
1839,Surat,25.72,7.63,25.72666667,7.646666667
1840,Surat,25.83,7.8,25.71333333,7.706666667
1841,Surat,25.59,7.69,25.78,7.836666667
1842,Surat,25.92,8.02,25.74333333,7.96
1843,Surat,25.72,8.17,25.73,7.946666667
1844,Surat,25.55,7.65,25.69666667,7.89
1845,Surat,25.82,7.85,25.92,8.016666667
1846,Surat,26.39,8.55,26.01666667,8.163333333
1847,Surat,25.84,8.09,26.01,8.206666667
1848,Surat,25.8,7.98,25.79333333,8.016666667
1849,Surat,25.74,7.98,25.82,7.953333333
1850,Surat,25.92,7.9,25.84333333,8.02
1851,Surat,25.87,8.18,25.89,8.06
1852,Surat,25.88,8.1,25.94,8.106666667
1853,Surat,26.07,8.04,26.05,8.116666667
1854,Surat,26.2,8.21,26.16,8.12
1855,Surat,26.21,8.11,26.05333333,8.106666667
1856,Surat,25.75,8,25.79333333,7.956666667
1857,Surat,25.42,7.76,25.73333333,7.953333333
1858,Surat,26.03,8.1,25.85666667,8.036666667
1859,Surat,26.12,8.25,26.01,8.103333333
1860,Surat,25.88,7.96,25.92,8.02
1861,Surat,25.76,7.85,24.55666667,7.79
1862,Surat,22.03,7.56,23.895,7.84
1863,Surat,,8.11,22.03,7.883333333
1864,Surat,,7.98,26.24,8.09
1865,Surat,26.24,8.18,26.255,8.15
1866,Surat,26.27,8.29,26.28666667,8.303333333
1867,Surat,26.35,8.44,26.28,8.326666667
1868,Surat,26.22,8.25,26.30333333,8.373333333
1869,Surat,26.34,8.43,26.19,8.293333333
1870,Surat,26.01,8.2,26.12,8.25
1871,Surat,26.01,8.12,26.01666667,8.17
1872,Surat,26.03,8.19,26.05666667,8.22
1873,Surat,26.13,8.35,26.10333333,8.323333333
1874,Surat,26.15,8.43,26.18333333,8.213333333
1875,Surat,26.27,7.86,26.26333333,8.123333333
1876,Surat,26.37,8.08,26.41666667,8.16
1877,Surat,26.61,8.54,26.54333333,8.483333333
1878,Surat,26.65,8.83,26.38,8.513333333
1879,Surat,25.88,8.17,26.30666667,8.373333333
1880,Surat,26.39,8.12,26.13,8.186666667
1881,Surat,26.12,8.27,26.16333333,8.173333333
1882,Surat,25.98,8.13,25.90333333,8.126666667
1883,Surat,25.61,7.98,25.70666667,7.96
1884,Surat,25.53,7.77,25.66,7.89
1885,Surat,25.84,7.92,25.83,7.88
1886,Surat,26.12,7.95,25.90666667,7.926666667
1887,Surat,25.76,7.91,25.99666667,7.983333333
1888,Surat,26.11,8.09,26.07666667,8.106666667
1889,Surat,26.36,8.32,26.24,8.126666667
1890,Surat,26.25,7.97,26.24,8.103333333
1891,Surat,26.11,8.02,26.27333333,8.02
1892,Surat,26.46,8.07,25.97333333,8.05
1893,Surat,25.35,8.06,25.94,8.096666667
1894,Surat,26.01,8.16,25.87666667,8.123333333
1895,Surat,26.27,8.15,26.38666667,8.173333333
1896,Surat,26.88,8.21,26.54333333,8.216666667
1897,Surat,26.48,8.29,26.68,8.226666667
1898,Surat,26.68,8.18,26.65666667,8.29
1899,Surat,26.81,8.4,26.76333333,8.36
1900,Surat,26.8,8.5,26.72,8.48
1901,Surat,26.55,8.54,26.80333333,8.446666667
1902,Surat,27.06,8.3,26.55,8.353333333
1903,Surat,26.04,8.22,26.49333333,8.203333333
1904,Surat,26.38,8.09,26.15666667,8.18
1905,Surat,26.05,8.23,26.16,8.233333333
1906,Surat,26.05,8.38,26.10666667,8.186666667
1907,Surat,26.22,7.95,26.06666667,8.173333333
1908,Surat,25.93,8.19,26.04666667,8.106666667
1909,Surat,25.99,8.18,25.93666667,8.196666667
1910,Surat,25.89,8.22,26.11,8.193333333
1911,Surat,26.45,8.18,26.33333333,8.19
1912,Surat,26.66,8.17,26.44666667,8.216666667
1913,Surat,26.23,8.3,26.43,8.353333333
1914,Surat,26.4,8.59,26.44666667,8.493333333
1915,Surat,26.71,8.59,26.47666667,8.47
1916,Surat,26.32,8.23,26.17,8.28
1917,Surat,25.48,8.02,26.06,8.126666667
1918,Surat,26.38,8.13,26.05,8.176666667
1919,Surat,26.29,8.38,26.39333333,8.29
1920,Surat,26.51,8.36,26.52,8.436666667
1921,Surat,26.76,8.57,26.51,8.446666667
1922,Surat,26.26,8.41,26.45,8.466666667
1923,Surat,26.33,8.42,26.37,8.446666667
1924,Surat,26.52,8.51,26.43,8.486666667
1925,Surat,26.44,8.53,26.47,8.59
1926,Surat,26.45,8.73,26.31,8.593333333
1927,Surat,26.04,8.52,26.30333333,8.626666667
1928,Surat,26.42,8.63,26.34,8.463333333
1929,Surat,26.56,8.24,26.45666667,8.5
1930,Surat,26.39,8.63,26.55333333,8.53
1931,Surat,26.71,8.72,26.57333333,8.686666667
1932,Surat,26.62,8.71,26.48333333,8.59
1933,Surat,26.12,8.34,26.27666667,8.56
1934,Surat,26.09,8.63,26.06666667,8.496666667
1935,Surat,25.99,8.52,26.12,8.566666667
1936,Surat,26.28,8.55,26.11666667,8.59
1937,Surat,26.08,8.7,26.19,8.703333333
1938,Surat,26.21,8.86,26.23666667,8.773333333
1939,Surat,26.42,8.76,26.31666667,8.793333333
1940,Surat,26.32,8.76,26.63,8.763333333
1941,Surat,27.15,8.77,26.67333333,8.753333333
1942,Surat,26.55,8.73,26.69,8.753333333
1943,Surat,26.37,8.76,26.41666667,8.78
1944,Surat,26.33,8.85,26.19666667,8.73
1945,Surat,25.89,8.58,26.25,8.703333333
1946,Surat,26.53,8.68,26.32666667,8.686666667
1947,Surat,26.56,8.8,26.64333333,8.743333333
1948,Surat,26.84,8.75,26.72333333,8.713333333
1949,Surat,26.77,8.59,26.54,8.57
1950,Surat,26.01,8.37,26.52666667,8.53
1951,Surat,26.8,8.63,26.57666667,8.546666667
1952,Surat,26.92,8.64,26.87,8.713333333
1953,Surat,26.89,8.87,26.78,8.69
1954,Surat,26.53,8.56,26.60666667,8.686666667
1955,Surat,26.4,8.63,26.38,8.49
1956,Surat,26.21,8.28,26.37666667,8.546666667
1957,Surat,26.52,8.73,26.58666667,8.593333333
1958,Surat,27.03,8.77,26.73333333,8.743333333
1959,Surat,26.65,8.73,26.77666667,8.693333333
1960,Surat,26.65,8.58,26.49666667,8.703333333
1961,Surat,26.19,8.8,26.42,8.71
1962,Surat,26.42,8.75,26.44333333,8.803333333
1963,Surat,26.72,8.86,26.49333333,8.673333333
1964,Surat,26.34,8.41,26.57,8.6
1965,Surat,26.65,8.53,26.61666667,8.513333333
1966,Surat,26.86,8.6,26.65333333,8.61
1967,Surat,26.45,8.7,26.53333333,8.606666667
1968,Surat,26.29,8.52,26.61666667,8.606666667
1969,Surat,27.11,8.6,26.61666667,8.606666667
1970,Surat,26.45,8.7,26.59,8.633333333
1971,Surat,26.21,8.6,26.49333333,8.6
1972,Surat,26.82,8.5,26.53333333,8.683333333
1973,Surat,26.57,8.95,26.72666667,8.64
1974,Surat,26.79,8.47,26.49,8.72
1975,Surat,26.11,8.74,26.55333333,8.52
1976,Surat,26.76,8.35,26.62666667,8.646666667
1977,Surat,27.01,8.85,26.78,8.63
1978,Surat,26.57,8.69,26.78666667,8.756666667
1979,Surat,26.78,8.73,26.76666667,8.8
1980,Surat,26.95,8.98,26.79,8.96
1981,Surat,26.64,9.17,26.77333333,8.93
1982,Surat,26.73,8.64,26.49,8.946666667
1983,Surat,26.1,9.03,26.42,8.786666667
1984,Surat,26.43,8.69,26.44666667,8.793333333
1985,Surat,26.81,8.66,26.68333333,8.726666667
1986,Surat,26.81,8.83,27.09,8.826666667
1987,Surat,27.65,8.99,27.23666667,9.006666667
1988,Surat,27.25,9.2,27.16666667,9.036666667
1989,Surat,26.6,8.92,26.82666667,9.116666667
1990,Surat,26.63,9.23,26.64333333,9.11
1991,Surat,26.7,9.18,26.70333333,9.083333333
1992,Surat,26.78,8.84,26.84,8.963333333
1993,Surat,27.04,8.87,26.79,8.916666667
1994,Surat,26.55,9.04,26.87333333,9.086666667
1995,Surat,27.03,9.35,26.86333333,9.143333333
1996,Surat,27.01,9.04,26.85666667,9.196666667
1997,Surat,26.53,9.2,26.95333333,9.253333333
1998,Surat,27.32,9.52,26.93666667,9.336666667
1999,Surat,26.96,9.29,27.10333333,9.336666667
2000,Surat,27.03,9.2,26.96333333,9.3
2001,Surat,26.9,9.41,27.09333333,9.393333333
2002,Surat,27.35,9.57,27.16,9.503333333
2003,Surat,27.23,9.53,27.29,9.473333333
2004,Surat,27.29,9.32,27.08,9.516666667
2005,Surat,26.72,9.7,27.05333333,9.516666667
2006,Surat,27.15,9.53,27.06,9.653333333
2007,Surat,27.31,9.73,27.09666667,9.563333333
2008,Surat,26.83,9.43,27.32,9.556666667
2009,Surat,27.82,9.51,27.44333333,9.546666667
2010,Surat,27.68,9.7,27.50666667,9.576666667
2011,Surat,27.02,9.52,27.19666667,9.576666667
2012,Surat,26.89,9.51,27.11666667,9.546666667
2013,Surat,27.44,9.61,27.165,9.56
